,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,Calibration,NO2 CvMAE Diff,NO2 MAE Diff,O3 CvMAE Diff,O3 MAE Diff,Training Size
2,"(2, 'donovan', 20)",5.788558961033207,8.548997218695638,0.5492745170595714,0.20171774907913745,Split-NN,-0.020173945754852873,-0.21260420946487724,0.011801022613883688,0.5001389811477459,2.0
23,"(2, 'donovan', 20)",6.001163170498084,8.048858237547892,0.5694484628144243,0.18991672646525376,Random Forest,,,,,2.0
3,"(2, 'elcajon', 17)",4.9645612472513685,9.451231241493034,0.4413839839220316,0.2442092688653455,Split-NN,-0.2455571029948327,-2.7619563054440235,0.01683802468523965,0.6516544834255082,2.0
14,"(2, 'elcajon', 17)",7.726517552695392,8.799576758067525,0.6869410869168643,0.22737124418010585,Random Forest,,,,,2.0
25,"(4, 'shafter', 18)",4.041838628296514,5.438995594169627,0.3262106192212766,0.2712167709560938,Split-NN,-0.10071195085199952,-1.2478485656182512,-0.12880979577573992,-2.5831585164899566,2.0
15,"(4, 'shafter', 18)",5.289687193914765,8.022154110659583,0.4269225700732761,0.40002656673183373,Random Forest,,,,,2.0
23,"(4, 'elcajon', 13)",5.971343561098377,8.457373302135531,0.3081169782565392,0.4778060650421146,Split-NN,0.0059125003887160466,0.11458495836849192,-0.053828729389477636,-0.9527917122322851,2.0
6,"(4, 'elcajon', 13)",5.856758602729885,9.410165014367816,0.3022044778678232,0.5316347944315922,Random Forest,,,,,2.0
22,"(4, 'elcajon', 12)",5.688598440310488,5.111686931816544,0.2943363418826105,0.2858963382643643,Split-NN,0.012713966783212571,0.24572110650878365,-0.07979135292496348,-1.4266304300873829,2.0
3,"(4, 'elcajon', 12)",5.442877333801705,6.5383173619039265,0.2816223750993979,0.36568769118932776,Random Forest,,,,,2.0
4,"(2, 'elcajon', 19)",4.213765425320815,8.063625183762133,0.3746361555891938,0.20911996283321527,Split-NN,-0.0648118037976268,-0.72897859408579,-0.018059682156670642,-0.6963778391899105,2.0
20,"(2, 'elcajon', 19)",4.9427440194066055,8.760003022952043,0.4394479593868206,0.2271796449898859,Random Forest,,,,,2.0
13,"(3, 'elcajon', 18)",3.6516165872447934,6.680660610770847,0.2287787157812605,0.296344942170565,Split-NN,-0.07184093163825919,-1.146678075875775,-0.03057703855230759,-0.6893143360376657,2.0
16,"(3, 'elcajon', 18)",4.7982946631205685,7.3699749468085125,0.3006196474195197,0.3269219807228726,Random Forest,,,,,2.0
21,"(4, 'elcajon', 11)",4.212270946648321,4.814928071868632,0.2179490140610448,0.2692986333308845,Split-NN,-0.006152355926459435,-0.1189057460714471,-0.07940894449557401,-1.4197931540907955,2.0
0,"(4, 'elcajon', 11)",4.331176692719768,6.234721225959428,0.22410136998750424,0.3487075778264585,Random Forest,,,,,2.0
5,"(2, 'elcajon', 21)",3.5278760332187598,7.6202205747243665,0.3102332314902664,0.19740760128549026,Split-NN,-0.0984985963080115,-1.1200954699516985,-0.0033646522063761897,-0.12988046966205768,2.0
26,"(2, 'elcajon', 21)",4.647971503170458,7.750101044386424,0.4087318277982779,0.20077225349186645,Random Forest,,,,,2.0
7,"(2, 'shafter', 12)",5.300768450424601,9.497329349499896,0.3949025252831019,0.3014619014295718,Split-NN,-0.08651703923597381,-1.1613164329030958,-0.04736040646545092,-1.4920538091067996,2.0
4,"(2, 'shafter', 12)",6.462084883327697,10.989383158606696,0.4814195645190757,0.3488223078950227,Random Forest,,,,,2.0
0,"(2, 'donovan', 15)",6.199516958857894,9.862019356030274,0.582154551744309,0.229395931770946,Split-NN,0.05276594774233856,0.5619184577337366,0.05303326136988612,2.279966545638068,2.0
11,"(2, 'donovan', 15)",5.637598501124157,7.582052810392206,0.5293886040019704,0.17636267040105988,Random Forest,,,,,2.0
8,"(2, 'shafter', 13)",5.848408406287434,10.608367238230066,0.4332944497046881,0.33475855173719044,Split-NN,-0.02396176931420929,-0.3234248977392937,-0.004769832648900241,-0.15115412628549585,2.0
7,"(2, 'shafter', 13)",6.171833304026728,10.759521364515562,0.4572562190188974,0.3395283843860907,Random Forest,,,,,2.0
